@relation features

@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 numeric
@attribute F11 numeric
@attribute F12 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute F17 numeric
@attribute F18 numeric
@attribute F19 numeric
@attribute F20 numeric
@attribute F21 numeric
@attribute F22 numeric
@attribute F23 numeric
@attribute F24 numeric
@attribute F25 numeric
@attribute F26 numeric
@attribute F27 numeric
@attribute F28 numeric
@attribute F29 numeric
@attribute F30 numeric
@attribute F31 numeric
@attribute F32 numeric
@attribute F33 numeric
@attribute F34 numeric
@attribute F35 numeric
@attribute F36 numeric
@attribute F37 numeric
@attribute F38 numeric
@attribute F39 numeric
@attribute F40 numeric
@attribute F41 numeric
@attribute F42 numeric
@attribute F43 numeric
@attribute F44 numeric
@attribute F45 numeric
@attribute F46 numeric
@attribute F47 numeric
@attribute Class {Not-obfuscated,Obfuscated}

@data
237,27.957806,6626,0,0.005613,30.657143,0.161938,0.23936,0.030486,0,116.179487,0.683821,0,0,0,0,0,0,0,0.011923,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0.018412,0.082252,Not-obfuscated
225,38.026667,8556,0,0.004473,7.333333,0.015428,0.204652,0.355423,0,96.318182,0.247662,0,0,0,0,0,0,0.002688,0.006896,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,1,0,0,0,0,11,1,0,0,0,0.044296,0.101566,Not-obfuscated
623,32.983949,20549,0,0.001884,23.542484,0.350577,0.194851,0.024527,0,330.625,0.7723,0,0,0,0,0,0,0.003066,0.017957,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,15,0,0,0,0,0.017568,0.070904,Not-obfuscated
226,39.862832,9009,0,0.004118,20,0.01998,0.248307,0.760684,0,80.666667,0.13431,0,0,0,0,0,0,0.000555,0.002109,0,0,0,0,0,1,0,0,1,5,0,0,0,3,0,0,1,0,0,0,6,0,0,0,0,0.036741,0.102897,Not-obfuscated
284,34.915493,9916,0,0.003701,11.888889,0.021581,0.271682,0.237394,0,112.578947,0.215712,3,0.000202,0,0,0,0,0.00242,0.004336,0,0,0,0,0,1,0,0,0,8,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0.029548,0.084308,Not-obfuscated
1098,32.082878,35227,0,0.001055,15.777778,0.193488,0.226559,0.024016,0,112.747788,0.723337,0,0,0,0,0,0.000284,0,0.017856,0,0,0,0,0,2,0,0,0,4,0,0,0,24,0,3,0,0,0,0,37,0,0,0,0,0.014932,0.063417,Not-obfuscated
57,24.473684,1395,0,0.025783,15.122449,0.531183,0.218638,0.074552,0,76.75,0.660215,0,0,0,0,0,0,0,0.004301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002151,0.066667,Not-obfuscated
1,38,38,0,0.881754,4,0.315789,0.078947,0,0,0,0,0,0,0,0,0,0,0,0.052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052632,Not-obfuscated
4,32,128,0,0.303943,16.5,0.257813,0.117188,0.585938,0,0,0,0,0,0,0,0,0,0,0.007813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085938,0.125,Not-obfuscated
43,26.790698,1152,0,0.031422,11.636364,0.222222,0.171875,0.565972,0,108,0.28125,0,0,0,0,0,0,0,0.001736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050347,0.100694,Not-obfuscated
38,33.973684,1291,0,0.029819,15.75,0.048799,0.16189,0.454686,0,256,0.793184,0,0,0,0,0,0,0,0.003098,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.069713,0.122386,Not-obfuscated
59,25.389831,1498,0,0.026574,8.102041,0.26502,0.172897,0,0,117.1,0.781709,1,0.001335,0,0,0,0,0.001335,0.014019,0,5,0,0,0,0,0,0,2,0,0,0,0,6,1,0,0,0,0,0,3,0,0,0,0,0.018692,0.106809,Not-obfuscated
23,18,414,0,0.092532,9.666667,0.210145,0.190821,0,0,61.6,0.743961,1,0.002415,0,0,0,0,0,0.014493,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.021739,0.135266,Not-obfuscated
23,18.869565,434,0,0.089788,11.888889,0.246544,0.182028,0,0,65.6,0.75576,1,0.002304,0,0,0,0.0553,0,0.013825,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.020737,0.129032,Not-obfuscated
131,43.709924,5726,0,0.00689,18.304878,0.262138,0.106706,0.044883,0,327.466667,0.857841,0,0,0,0,0,0,0.000349,0.014495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012225,0.061474,Not-obfuscated
24,52.666667,1264,0,0.032525,8,0.006329,0.137658,0.880538,0,0,0,0,0,0,0,0,0,0,0.003165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112342,0.154272,Not-obfuscated
38,26.736842,1016,0,0.041187,12,0.059055,0.144685,0.310039,0,60,0.531496,0,0,0,0,0,0,0,0.011811,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.033465,0.113189,Not-obfuscated
84,18.047619,1516,0,0.025006,6.947368,0.087071,0.21438,0.043536,0,64.875,0.684697,1,0.003298,0,0,0,0,0,0.01781,4,5,0,0,0,0,0,0,4,0,0,1,0,0,1,0,1,0,0,0,4,0,0,0,0,0.029024,0.134565,Not-obfuscated
39,26.769231,1044,0,0.035815,18.5,0.070881,0.237548,0.283525,0,61.5,0.471264,0,0,0,0,0,0,0,0.008621,0,0,0,0,0,0,0,0,2,4,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0.045977,0.114943,Not-obfuscated
134,26.574627,3561,0,0.010581,18.176471,0.173547,0.233923,0.059534,0,55.159091,0.68155,0,0,0,0,0,0,0,0.025555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021623,0.096883,Not-obfuscated
58,27.12069,1573,0,0.023901,21,0.066751,0.218055,0.404959,0,54.090909,0.378258,0,0,0,0,0,0,0,0.009536,0,0,0,0,0,0,0,0,2,6,0,2,0,2,0,0,2,0,0,2,0,0,0,0,0,0.051494,0.115702,Not-obfuscated
49,24.632653,1207,0,0.032561,8.8,0.072908,0.196355,0.20464,0,78.333333,0.584093,1,0.000829,0,0,0,0,0,0.014085,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.043082,0.144159,Not-obfuscated
18,18.5,333,0,0.109459,11.75,0.141141,0.195195,0,0,62.25,0.747748,1,0.003003,0,0,0,0,0,0.012012,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.036036,0.144144,Not-obfuscated
32,26.28125,841,0,0.046593,14.6,0.086801,0.162901,0,0,107.833333,0.769322,2,0.001189,0,0,0,0,0,0.019025,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0.009512,0.085612,Not-obfuscated
126,28.936508,3646,0,0.010765,13.521739,0.085299,0.189523,0.347504,0,69.833333,0.459682,1.25,0.001097,0,0,0,0,0.000823,0.00768,0,3,3,0,0,3,0,0,0,6,0,1,0,9,1,0,1,0,2,1,6,0,0,0,0,0.060066,0.13028,Not-obfuscated
18,17.333333,312,0,0.113981,10.5,0.067308,0.13141,0,0,49.6,0.794872,1,0.003205,0,0,0,0,0,0.009615,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.019231,0.115385,Not-obfuscated
707,38.806223,27436,0,0.001377,8.363636,0.006707,0.244059,0.325521,0,71.486486,0.096406,1,0.000036,0,0,0,0.000146,0.000547,0.001531,0,3,0,0,0,4,0,0,1,22,0,0,0,18,1,0,1,0,0,2,14,0,0,0,0,0.047419,0.105591,Not-obfuscated
301,24.966777,7515,0,0.005456,8.9,0.035529,0.17831,0.178709,0,104.377778,0.625017,0.692308,0.00173,0,0,0,0.001198,0.001863,0.010778,0,0,0,0,0,4,0,0,2,19,0,5,0,16,0,0,4,0,0,1,3,1,0,0,0,0.038057,0.126414,Not-obfuscated
5,21.2,106,0,0.348567,11.5,0.216981,0.056604,0,0,94,0.886792,0,0,0,0,0,0,0,0.018868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009434,0.075472,Not-obfuscated
239,26.552301,6346,0,0.005428,11.826087,0.085723,0.319729,0.178065,0,74.926829,0.484084,4,0.000158,0,0,0,0,0.000945,0.013552,0,0,0,0,0,0,0,0,0,2,0,0,0,17,0,0,0,0,0,0,15,0,0,0,0,0.02931,0.094075,Not-obfuscated
12,19.583333,235,0,0.164505,14.5,0.246809,0.06383,0,0,165,0.702128,0,0,0,0,0,0,0,0.025532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012766,0.093617,Not-obfuscated
