F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45
51,35.6078431372549,1816,0.0,0.02158290584588224,32.31818181818182,0.3915198237885463,0.11398678414096916,0.018722466960352423,0.0,173.44444444444446,0.8595814977973568,0,0.0,0.0,0.0,0.0,0.0,0.011013215859030838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.01486784140969163
178,43.78651685393258,7794,0.0,0.004935374876152881,29.074766355140188,0.399153194765204,0.17051578137028484,0.0365665896843726,0.0,199.90322580645162,0.7950987939440596,0,0.0,0.0,0.0,0.0011547344110854503,0.0,0.01077752117013087,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.023351295868616884
68,33.970588235294116,2310,0.0,0.016833909371054324,7.0,0.006060606060606061,0.19264069264069264,0.3199134199134199,0.0,49.857142857142854,0.1510822510822511,0,0.0,0.0,0.0,0.0008658008658008658,0.0,0.0021645021645021645,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.03593073593073593
157,36.40127388535032,5715,0.0,0.006815724098261172,14.98019801980198,0.2647419072615923,0.14698162729658792,0.0,0.0,168.5,0.8255468066491689,0,0.0,0.0,0.0,0.00034995625546806647,0.0,0.021697287839020123,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0.016097987751531057
145,35.813793103448276,5193,0.0,0.007486154562519933,10.23076923076923,0.025611399961486616,0.21259387637203928,0.4284613903331408,0.0,82.16666666666667,0.18987098016560755,3,0.00019256691700365877,0.0,0.0,0.0,0.0,0.0028885037550548816,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0.05584440593106104
237,27.957805907172997,6626,0.0,0.005613423235560823,30.65714285714286,0.1619378207063085,0.23936009658919408,0.03048596438273468,0.0,116.17948717948718,0.6838213099909448,0,0.0,0.0,0.0,0.0,0.0,0.01192272864473287,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0.018412315122245698
225,38.026666666666664,8556,0.0,0.004473323167541667,7.333333333333333,0.015427769985974754,0.20465170640486208,0.3554230949041608,0.0,96.31818181818181,0.24766245909303414,0,0.0,0.0,0.0,0.0,0.002688172043010753,0.006895745675549322,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,1,0,0,0,0,11,1,0,0,0,0.044296400187003274
623,32.98394863563403,20549,0.0,0.0018837162768953926,23.54248366013072,0.3505766703975863,0.19485133096501045,0.024526740960630688,0.0,330.625,0.7723003552484305,0,0.0,0.0,0.0,0.0,0.003065842620078836,0.017957078203318898,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,15,0,0,0,0,0.017567764854737457
226,39.86283185840708,9009,0.0,0.004117647682597765,20.0,0.01998001998001998,0.24830724830724832,0.7606837606837606,0.0,80.66666666666667,0.1343101343101343,0,0.0,0.0,0.0,0.0,0.000555000555000555,0.002109002109002109,0,0,0,0,0,1,0,0,1,5,0,0,0,3,0,0,1,0,0,0,6,0,0,0,0,0.036741036741036744
284,34.91549295774648,9916,0.0,0.0037007453233563465,11.88888888888889,0.021581282775312627,0.2716821298910851,0.2373941105284389,0.0,112.57894736842105,0.21571198063735378,3,0.0002016942315449778,0.0,0.0,0.0,0.0024203307785397336,0.004336425978217023,0,0,0,0,0,1,0,0,0,8,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0.02954820492133925
